record_id,action_label,episode_count,mean_regret,p90_regret,Set_accuracy,NoMove_accuracy,SafeOracle_accuracy,headroom_capture,catastrophic_ratio
babel_val_02592_004,lie,71,8.03778231235234,13.473293781280518,0.0,0.18309859154929578,0.5774647887323944,0.24054224678427472,0.49295774647887325
babel_val_13155_013,sit,71,8.009073583246044,15.149745345115662,0.0,0.014084507042253521,0.14084507042253522,0.18040695412479346,0.4507042253521127
babel_val_07900_000,play instrument,71,6.477930594670474,14.28845202922821,0.23943661971830985,0.2535211267605634,0.7183098591549296,0.4063499593183484,0.39436619718309857
babel_val_01456_006,lie,71,5.0880946123593995,9.628957398235798,0.18309859154929578,0.3380281690140845,0.8873239436619719,0.3252088953983027,0.19718309859154928
babel_val_12454_003,t pose,71,4.9846181779080325,9.846801459789276,0.014084507042253521,0.14084507042253522,0.5352112676056338,0.22704488528647576,0.16901408450704225
babel_val_11303_001,knock,71,4.820909387027455,10.544866263953736,0.14084507042253522,0.07042253521126761,0.3380281690140845,0.5552792512545219,0.2112676056338028
babel_val_01072_000,walk,71,4.68384248747946,10.056710064411163,0.1267605633802817,0.09859154929577464,0.5211267605633803,0.3602208141042062,0.23943661971830985
babel_val_05908_004,stand up,71,4.678663103812141,10.742209434509277,0.15492957746478872,0.07042253521126761,0.49295774647887325,0.4809705192844502,0.19718309859154928
babel_val_01486_014,stumble,71,4.597860698076621,10.295030184555799,0.09859154929577464,0.014084507042253521,0.30985915492957744,0.5105883572037689,0.23943661971830985
babel_val_08721_001,jump,71,4.581274872037892,12.738523483276367,0.29577464788732394,0.2535211267605634,0.8028169014084507,0.574183023705333,0.2535211267605634
babel_val_06970_000,play instrument,71,4.5559819975284155,10.802274703979492,0.08450704225352113,0.056338028169014086,0.38028169014084506,0.4608838870618527,0.18309859154929578
babel_val_11952_003,sit,71,4.493151981529492,8.265977893024683,0.0,0.028169014084507043,0.28169014084507044,0.16791106794724045,0.07042253521126761
babel_val_09422_001,jump,71,4.343424746264953,8.190826833248138,0.04225352112676056,0.04225352112676056,0.39436619718309857,0.5505008033102344,0.09859154929577464
babel_val_06971_008,walk,71,4.105347057279777,8.696844577789307,0.028169014084507043,0.04225352112676056,0.30985915492957744,0.3139660681017948,0.11267605633802817
babel_val_05026_026,stumble,71,3.916388869829463,8.931495189666748,0.2676056338028169,0.1267605633802817,0.6338028169014085,0.6164067072966127,0.1267605633802817
babel_val_01435_006,stumble,71,3.8000309335094102,8.568794786930084,0.014084507042253521,0.0,0.11267605633802817,0.40844737363575456,0.1267605633802817
babel_val_06727_007,walk,71,3.7976743334920298,8.944379354055854,0.30985915492957744,0.2112676056338028,0.676056338028169,0.39763967211727563,0.14084507042253522
babel_val_11307_014,kick,71,3.543646078576452,8.284051967784762,0.23943661971830985,0.07042253521126761,0.647887323943662,0.4909193725361984,0.09859154929577464
babel_val_05026_025,stumble,71,3.5376010849034007,6.647288770414889,0.04225352112676056,0.056338028169014086,0.4084507042253521,0.5070957372457875,0.028169014084507043
babel_val_11446_014,jog,71,3.470915192438913,6.924207225441933,0.056338028169014086,0.08450704225352113,0.49295774647887325,0.6398692391519435,0.07042253521126761
babel_val_04108_008,walk,71,3.436231148239425,8.675425410270691,0.22535211267605634,0.1267605633802817,0.6056338028169014,0.6630503020820081,0.11267605633802817
babel_val_04240_000,throw,71,3.281613706066553,9.028717994689941,0.323943661971831,0.19718309859154928,0.6901408450704225,0.6215698317899376,0.14084507042253522
babel_val_05367_020,jump,71,3.1586561385261827,8.148516230285168,0.23943661971830985,0.23943661971830985,0.7323943661971831,0.6263492589283376,0.09859154929577464
babel_val_10672_008,stumble,71,3.133863417637335,10.455419197678566,0.4507042253521127,0.2535211267605634,0.8450704225352113,0.6820650525435492,0.16901408450704225
babel_val_03330_000,throw,71,3.125303380675305,8.80005590422661,0.352112676056338,0.15492957746478872,0.6901408450704225,0.655995345872662,0.14084507042253522
babel_val_07420_004,move up/down incline,71,3.124205179394446,7.046511888504028,0.2112676056338028,0.09859154929577464,0.4647887323943662,0.631492573143759,0.07042253521126761
babel_val_05437_000,throw,71,3.056834230609395,8.544778823852539,0.39436619718309857,0.16901408450704225,0.6901408450704225,0.718931698017573,0.11267605633802817
babel_val_06173_002,stumble,71,3.032966296414805,9.246643096208572,0.323943661971831,0.18309859154929578,0.6197183098591549,0.6551915453744253,0.14084507042253522
babel_val_08758_002,move up/down incline,71,2.8989532161577816,8.633008480072021,0.5070422535211268,0.2112676056338028,0.8309859154929577,0.6715401815063625,0.1267605633802817
babel_val_09636_010,kick,71,2.8726493226276943,8.256539151072502,0.28169014084507044,0.2112676056338028,0.7464788732394366,0.6588710990022288,0.08450704225352113
babel_val_02541_013,walk,71,2.859724430326257,6.271656513214111,0.2535211267605634,0.11267605633802817,0.6197183098591549,0.5996422603979352,0.056338028169014086
babel_val_08494_013,throw,71,2.815186685395234,7.780188083648682,0.4647887323943662,0.22535211267605634,0.7323943661971831,0.6525183128926889,0.09859154929577464
babel_val_09721_003,walk,71,2.8066008820473667,10.07580252434127,0.49295774647887325,0.352112676056338,0.8873239436619719,0.5150056164650643,0.1267605633802817
babel_val_10251_006,stand up,71,2.800284671767707,8.95731571316719,0.07042253521126761,0.028169014084507043,0.28169014084507044,0.6656041763625451,0.11267605633802817
babel_val_04799_010,stand up,71,2.732996079613066,7.791645346820587,0.49295774647887325,0.43661971830985913,0.8732394366197183,0.3815127420135979,0.07042253521126761
babel_val_06204_001,stumble,71,2.714032262694878,7.863552570343018,0.15492957746478872,0.07042253521126761,0.4084507042253521,0.661230756532968,0.056338028169014086
babel_val_04147_001,jump,71,2.6869601178913283,5.517339002341032,0.30985915492957744,0.23943661971830985,0.8028169014084507,0.6679859488709607,0.04225352112676056
babel_val_07148_004,stumble,71,2.6444181061126817,7.354288578033447,0.014084507042253521,0.014084507042253521,0.056338028169014086,0.6773869140429433,0.056338028169014086
babel_val_09244_000,stand up,71,2.637332205411414,8.062901258468628,0.11267605633802817,0.056338028169014086,0.36619718309859156,0.6597924953728211,0.08450704225352113
babel_val_09324_000,stand up,71,2.6352284961177883,7.723023088648915,0.4225352112676056,0.28169014084507044,0.676056338028169,0.45110810552179864,0.07042253521126761
babel_val_05913_004,knock,71,2.620994930024508,9.531733006238937,0.4788732394366197,0.16901408450704225,0.6619718309859155,0.7771902758773424,0.14084507042253522
babel_val_03265_006,stand up,71,2.6127367827149346,7.079345881938934,0.15492957746478872,0.08450704225352113,0.4507042253521127,0.5298120718382553,0.08450704225352113
babel_val_02066_000,stumble,71,2.5963935890484233,8.018772467970848,0.15492957746478872,0.09859154929577464,0.352112676056338,0.7311385500181038,0.028169014084507043
babel_val_09422_009,jump,71,2.5562780826702194,6.95781409740448,0.352112676056338,0.3380281690140845,0.8309859154929577,0.7078042683503596,0.0
babel_val_06739_013,jump,71,2.54047509150159,6.7566681653261185,0.4225352112676056,0.2676056338028169,0.8873239436619719,0.7402131844994936,0.08450704225352113
babel_val_02765_002,jump,71,2.47144250301513,5.9348509311676025,0.19718309859154928,0.056338028169014086,0.5774647887323944,0.6906479328198164,0.014084507042253521
babel_val_05117_000,kick,71,2.4609033938129383,6.187617659568787,0.36619718309859156,0.15492957746478872,0.6338028169014085,0.605819020463598,0.07042253521126761
babel_val_06175_002,play instrument,71,2.435928287143462,6.418805480003357,0.323943661971831,0.16901408450704225,0.7746478873239436,0.6872631693634129,0.028169014084507043
babel_val_03720_000,knock,71,2.4238802354942743,8.293292045593262,0.4647887323943662,0.18309859154929578,0.6619718309859155,0.7929219458355842,0.09859154929577464
